        Frequency / GHz                SZmax(1),Zmax(1) (wm=4)/abs,dB
               12.225536                    -0.077838288
               12.271505                    -0.079017158
               12.317473                     -0.08021259
               12.363441                    -0.081424828
               12.409409                    -0.082654125
               12.455377                    -0.083900734
               12.501345                    -0.085164918
               12.547314                    -0.086446942
               12.593282                    -0.087747077
                12.63925                      -0.0890656
               12.685218                    -0.090402793
               12.731186                    -0.091758945
               12.777155                    -0.093134351
               12.823123                    -0.094529311
               12.869091                    -0.095944134
               12.915059                    -0.097379133
               12.961027                    -0.098834633
               13.006995                     -0.10031096
               13.052964                     -0.10180845
               13.098932                     -0.10332746
                 13.1449                     -0.10486833
               13.190868                     -0.10643143
               13.236836                     -0.10801713
               13.282805                     -0.10962581
               13.328773                     -0.11125787
               13.374741                      -0.1129137
               13.420709                     -0.11459373
               13.466677                     -0.11629837
               13.512645                     -0.11802807
               13.558614                     -0.11978327
               13.604582                     -0.12156444
                13.65055                     -0.12337205
               13.696518                     -0.12520661
               13.742486                     -0.12706862
               13.788454                      -0.1289586
               13.834423                      -0.1308771
               13.880391                     -0.13282468
               13.926359                     -0.13480193
               13.972327                     -0.13680944
               14.018295                     -0.13884785
               14.064264                      -0.1409178
               14.110232                     -0.14301996
                 14.1562                     -0.14515503
               14.202168                     -0.14732375
               14.248136                     -0.14952687
               14.294104                     -0.15176519
               14.340073                     -0.15403953
               14.386041                     -0.15635075
               14.432009                     -0.15869976
               14.477977                      -0.1610875
               14.523945                     -0.16351497
               14.569913                      -0.1659832
               14.615882                     -0.16849329
                14.66185                     -0.17104639
               14.707818                      -0.1736437
               14.753786                     -0.17628651
               14.799754                     -0.17897617
               14.845723                     -0.18171411
               14.891691                     -0.18450183
               14.937659                     -0.18734094
               14.983627                     -0.19023315
               15.029595                     -0.19318027
               15.075563                     -0.19618423
               15.121532                     -0.19924709
                 15.1675                     -0.20237106
               15.213468                      -0.2055585
               15.259436                     -0.20881193
               15.305404                     -0.21213409
               15.351372                     -0.21552788
               15.397341                     -0.21899648
               15.443309                      -0.2225433
               15.489277                     -0.22617201
               15.535245                     -0.22988663
               15.581213                      -0.2336915
               15.627182                     -0.23759137
                15.67315                     -0.24159139
               15.719118                     -0.24569722
               15.765086                     -0.24991507
               15.811054                     -0.25425172
               15.857022                     -0.25871468
               15.902991                     -0.26331222
               15.948959                      -0.2680535
               15.994927                     -0.27294868
               16.040895                     -0.27800907
               16.086863                     -0.28324727
               16.132831                     -0.28867742
                 16.1788                     -0.29431536
               16.224768                     -0.30017893
               16.270736                      -0.3062883
               16.316704                     -0.31266632
               16.362672                     -0.31933901
               16.408641                     -0.32633607
               16.454609                     -0.33369158
               16.500577                     -0.34144476
               16.546545                     -0.34964098
               16.592513                     -0.35833297
               16.638481                     -0.36758231
                16.68445                     -0.37746127
               16.730418                     -0.38805516
               16.776386                     -0.39946528
               16.822354                     -0.41181269
               16.868322                     -0.42524299
                16.91429                      -0.4399326
               16.960259                     -0.45609694
               17.006227                     -0.47400123
               17.052195                     -0.49397499
               17.098163                     -0.51643156
               17.144131                     -0.54189501
                 17.1901                     -0.57103737
               17.236068                     -0.60473132
               17.282036                      -0.6441257
               17.328004                     -0.69075565
               17.373972                     -0.74670656
                17.41994                     -0.81486271
               17.465909                     -0.89929285
               17.511877                      -1.0058612
               17.557845                      -1.1432174
               17.603813                      -1.3244334
               17.649781                      -1.5697458
               17.695749                      -1.9111399
               17.741718                      -2.3996565
               17.787686                      -3.1148962
               17.833654                      -4.1659236
               17.879622                      -5.6211974
                17.92559                      -7.1421652
               17.971559                      -7.4606509
               18.017527                      -6.1448272
               18.063495                      -4.5378028
               18.109463                      -3.3194006
               18.155431                      -2.4958561
               18.201399                      -1.9479597
               18.247368                      -1.5780449
               18.293336                      -1.3223602
               18.339304                      -1.1412689
               18.385272                      -1.0101113
                18.43124                     -0.91327095
               18.477208                     -0.84062441
               18.523177                     -0.78544587
               18.569145                     -0.74315998
               18.615113                     -0.71058505
               18.661081                     -0.68546385
               18.707049                     -0.66616607
               18.753018                     -0.65149549
               18.798986                     -0.64056244
               18.844954                     -0.63269772
               18.890922                     -0.62739366
                18.93689                     -0.62426296
               18.982858                     -0.62300978
               19.028827                       -0.623409
               19.074795                     -0.62529144
               19.120763                     -0.62853329
               19.166731                      -0.6330485
               19.212699                     -0.63878367
               19.258668                     -0.64571462
               19.304636                     -0.65384458
               19.350604                     -0.66320366
               19.396572                     -0.67384965
                19.44254                        -0.68587
               19.488508                     -0.69938538
               19.534477                     -0.71455482
               19.580445                     -0.73158297
               19.626413                     -0.75073002
               19.672381                     -0.77232513
               19.718349                     -0.79678466
               19.764317                     -0.82463686
               19.810286                      -0.8565558
               19.856254                     -0.89340826
               19.902222                     -0.93631935
                19.94819                     -0.98676579
               19.994158                      -1.0467102
               20.040127                      -1.1187975
               20.086095                      -1.2066477
               20.132063                       -1.315299
               20.178031                      -1.4518902
               20.223999                      -1.6267292
               20.269967                      -1.8549857
               20.315936                      -2.1593811
               20.361904                      -2.5743918
               20.407872                      -3.1523801
                20.45384                      -3.9705041
               20.499808                      -5.1289516
               20.545776                         -6.6939
               20.591745                      -8.4137297
               20.637713                      -9.1579875
               20.683681                      -8.0782851
               20.729649                      -6.3275001
               20.775617                      -4.8443692
               20.821586                      -3.7702825
               20.867554                      -3.0189562
               20.913522                      -2.4919663
                20.95949                      -2.1167061
               21.005458                       -1.844526
               21.051426                      -1.6435484
               21.097395                      -1.4928353
               21.143363                      -1.3784866
               21.189331                      -1.2911748
               21.235299                      -1.2246193
               21.281267                      -1.1746533
               21.327235                       -1.138663
               21.373204                      -1.1152352
               21.419172                      -1.1037754
                21.46514                      -1.1034592
               21.511108                      -1.1099202
               21.557076                       -1.108941
               21.603045                      -1.0797137
               21.649013                      -1.0237193
               21.694981                     -0.96724083
               21.740949                     -0.92551101
               21.786917                     -0.89795937
               21.832885                     -0.88005931
               21.878854                     -0.86822827
               21.924822                     -0.86024654
                21.97079                     -0.85480491
               22.016758                     -0.85112243
               22.062726                     -0.84871781
               22.108694                      -0.8472826
               22.154663                     -0.84661127
               22.200631                     -0.84656181
               22.246599                     -0.84703302
               22.292567                     -0.84795097
               22.338535                     -0.84926058
               22.384504                     -0.85092041
               22.430472                     -0.85289916
                22.47644                     -0.85517341
               22.522408                     -0.85772609
               22.568376                     -0.86054537
               22.614344                     -0.86362396
               22.660313                     -0.86695861
               22.706281                      -0.8705498
               22.752249                     -0.87440159
               22.798217                      -0.8785215
               22.844185                     -0.88292056
               22.890153                     -0.88761348
               22.936122                     -0.89261877
                22.98209                     -0.89795911
               23.028058                     -0.90366168
               23.074026                      -0.9097587
               23.119994                     -0.91628806
               23.165963                     -0.92329402
               23.211931                      -0.9308282
               23.257899                     -0.93895068
               23.303867                     -0.94773142
               23.349835                     -0.95725192
               23.395803                     -0.96760727
               23.441772                     -0.97890873
                23.48774                     -0.99128684
               23.533708                      -1.0048953
               23.579676                      -1.0199157
               23.625644                      -1.0365638
               23.671612                      -1.0550968
               23.717581                      -1.0758234
               23.763549                      -1.0991158
               23.809517                      -1.1254259
               23.855485                      -1.1553057
               23.901453                      -1.1894344
               23.947422                       -1.228654
                23.99339                      -1.2740168
               24.039358                      -1.3268489
               24.085326                      -1.3888365
               24.131294                      -1.4621433
               24.177262                      -1.5495735
               24.223231                      -1.6547959
               24.269199                       -1.782658
               24.315167                       -1.939623
               24.361135                      -2.1343757
               24.407103                      -2.3786463
               24.453071                      -2.6882791
                24.49904                      -3.0844694
               24.545008                      -3.5947505
               24.590976                        -4.25232
               24.636944                      -5.0895824
               24.682912                      -6.1150802
               24.728881                      -7.2513045
               24.774849                      -8.2240901
               24.820817                      -8.5668676
               24.866785                      -8.0602871
               24.912753                      -7.0405746
               24.958721                      -5.9445925
                25.00469                      -4.9850079
               25.050658                      -4.2090938
               25.096626                      -3.6000198
               25.142594                      -3.1256606
               25.188562                      -2.7554516
                25.23453                      -2.4646364
               25.280499                      -2.2343262
               25.326467                      -2.0504532
               25.372435                      -1.9026345
               25.418403                      -1.7832302
               25.464371                      -1.6866328
                25.51034                      -1.6087532
               25.556308                      -1.5466575
               25.602276                      -1.4983103
               25.648244                      -1.4623821
               25.694212                      -1.4380657
                25.74018                      -1.4248138
               25.786149                      -1.4218356
               25.832117                      -1.4271217
               25.878085                      -1.4358975
               25.924053                      -1.4393375
               25.970021                      -1.4262137
                26.01599                      -1.3895742
               26.061958                      -1.3331902
               26.107926                      -1.2688917
               26.153894                      -1.2078569
               26.199862                      -1.1558876
                26.24583                      -1.1142316
               26.291799                      -1.0819448
               26.337767                      -1.0575051
               26.383735                      -1.0395243
               26.429703                      -1.0269619
               26.475671                      -1.0191418
               26.521639                      -1.0157146
               26.567608                      -1.0166217
               26.613576                      -1.0220758
               26.659544                       -1.032563
               26.705512                      -1.0488621
                26.75148                      -1.0720728
               26.797449                      -1.1036336
               26.843417                      -1.1452824
               26.889385                      -1.1988618
               26.935353                      -1.2657841
               26.981321                      -1.3458759
               27.027289                      -1.4353893
               27.073258                      -1.5246287
               27.119226                      -1.5972944
               27.165194                      -1.6348989
               27.211162                      -1.6263028
                27.25713                      -1.5748335
               27.303098                      -1.4954252
               27.349067                      -1.4052928
               27.395035                      -1.3170579
               27.441003                      -1.2373385
               27.486971                      -1.1683514
               27.532939                      -1.1099093
               27.578908                      -1.0608084
               27.624876                      -1.0195783
               27.670844                      -0.9848203
               27.716812                     -0.95532764
                27.76278                     -0.93010628
               27.808748                     -0.90835556
               27.854717                     -0.88943701
               27.900685                      -0.8728431
               27.946653                        -0.85817
               27.992621                     -0.84509529
               28.038589                     -0.83336032
               28.084557                     -0.82275647
               28.130526                     -0.81311446
               28.176494                     -0.80429615
               28.222462                     -0.79618809
                28.26843                     -0.78869662
               28.314398                     -0.78174397
               28.360367                     -0.77526528
