        Frequency / GHz                SZmax(1),Zmax(1) (h=1)/abs,dB
                  26.862                     -0.31641669
                  26.908                     -0.31829932
                  26.954                     -0.32052161
                      27                     -0.32304873
                  27.046                     -0.32585478
                  27.092                     -0.32892082
                  27.138                     -0.33223351
                  27.184                     -0.33578407
                   27.23                      -0.3395676
                  27.276                     -0.34358252
                  27.322                     -0.34783024
                  27.368                      -0.3523149
                  27.414                     -0.35704323
                   27.46                     -0.36202455
                  27.506                     -0.36727071
                  27.552                     -0.37279626
                  27.598                     -0.37861858
                  27.644                     -0.38475819
                 27.6555                     -0.38634539
                   27.69                     -0.39123908
                  27.736                     -0.39808933
                  27.782                     -0.40534189
                  27.828                     -0.41303583
                  27.874                     -0.42121747
                   27.92                     -0.42993918
                  27.966                     -0.43925038
                  28.012                     -0.44919079
                  28.058                      -0.4598161
                  28.104                     -0.47121918
                   28.15                     -0.48351229
                  28.196                     -0.49681689
                  28.242                     -0.51126901
                  28.288                      -0.5270266
                  28.311                     -0.53545195
                  28.334                     -0.54427622
                   28.38                     -0.56323999
                  28.426                     -0.58418407
                  28.472                     -0.60742929
                  28.518                     -0.63336497
                  28.564                     -0.66246678
                   28.61                     -0.69532044
                  28.656                     -0.73265303
                  28.702                     -0.77537513
                  28.748                     -0.82463795
                  28.794                     -0.88191169
                   28.84                     -0.94909432
                 28.8515                     -0.96771317
                  28.886                      -1.0286643
                  28.932                      -1.1238977
                  28.978                      -1.2391794
                  29.024                      -1.3804554
                   29.07                      -1.5558914
                  29.116                      -1.7768333
                29.12175                      -1.8083815
                  29.162                      -2.0591905
                  29.208                       -2.425344
                  29.254                      -2.9064939
                    29.3                      -3.5445392
                  29.346                      -4.3896927
                  29.392                      -5.4806929
                  29.438                       -6.769218
                 29.4495                      -7.0937895
                  29.484                       -7.929765
                  29.507                      -8.2448472
                   29.53                      -8.2668293
                 29.5645                      -7.7511969
                  29.576                      -7.4709299
                  29.622                      -6.1444918
                  29.668                      -4.8780354
                  29.714                      -3.8632064
                   29.76                      -3.0967647
                  29.806                      -2.5270312
                  29.852                      -2.1026806
                  29.898                      -1.7835658
                  29.944                      -1.5405419
                   29.99                      -1.3529666
                  30.036                        -1.20628
                  30.082                      -1.0901457
                  30.128                     -0.99714248
                  30.174                     -0.92191883
                   30.22                     -0.86054255
                  30.266                     -0.81008582
                  30.312                     -0.76834945
                  30.358                     -0.73366736
                  30.404                     -0.70477076
                   30.45                     -0.68069497
                  30.496                      -0.6607176
                  30.542                     -0.64432252
                  30.588                     -0.63118833
                  30.634                     -0.62120634
                  30.657                     -0.61743535
                   30.68                     -0.61454161
                  30.726                     -0.61176628
                  30.772                     -0.61411961
                  30.818                      -0.6239797
                  30.864                     -0.64559394
                   30.91                     -0.68561928
                  30.956                      -0.7507793
                  31.002                     -0.83582496
                  31.048                     -0.90702216
                  31.094                     -0.92724916
                   31.14                     -0.90395857
                  31.186                     -0.86724897
                  31.232                     -0.83480393
                  31.278                     -0.81141597
                  31.324                     -0.79684997
                   31.37                     -0.78980703
                  31.416                     -0.78914828
                  31.462                      -0.7941455
                  31.508                     -0.80447554
                  31.554                     -0.82017814
                    31.6                     -0.84163498
                  31.646                     -0.86958274
                  31.692                     -0.90516444
                  31.738                     -0.95002441
                  31.784                      -1.0064555
                  31.807                      -1.0399546
                   31.83                      -1.0776105
                  31.876                      -1.1677855
                  31.922                      -1.2827658
                  31.968                      -1.4301505
                  32.014                      -1.6193865
                   32.06                      -1.8607664
                 32.0945                      -2.0807971
                  32.106                      -2.1616833
                  32.152                      -2.5171391
                  32.198                      -2.8924144
                  32.244                      -3.2070332
                   32.29                      -3.3534281
                  32.336                      -3.2717501
                  32.382                      -3.0061653
                  32.428                      -2.6599995
                  32.474                      -2.3182265
                   32.52                      -2.0216415
                  32.566                      -1.7797008
                  32.612                      -1.5876496
                  32.658                      -1.4365944
                  32.704                      -1.3177658
                   32.75                      -1.2238468
                  32.773                      -1.1843849
                  32.796                      -1.1491209
                  32.842                      -1.0892425
                  32.888                      -1.0409389
                  32.934                      -1.0017462
                   32.98                     -0.96980104
                  33.026                     -0.94368478
                  33.072                     -0.92230843
                  33.118                     -0.90482911
                  33.164                     -0.89058913
                   33.21                     -0.87907133
                  33.256                     -0.86986627
                  33.302                     -0.86264794
                  33.348                     -0.85715562
                  33.394                     -0.85318025
                   33.44                     -0.85055403
                  33.486                     -0.84914265
                  33.532                     -0.84883916
                  33.578                     -0.84955941
                  33.624                     -0.85123849
                   33.67                       -0.853828
                  33.716                     -0.85729405
                  33.762                     -0.86161571
                 33.7735                     -0.86282852
                  33.808                     -0.86678401
                  33.854                     -0.87280119
                    33.9                     -0.87968039
                  33.946                     -0.88744559
                  33.992                     -0.89613184
                  34.038                     -0.90578578
                  34.084                     -0.91646645
                   34.13                     -0.92824648
                  34.176                     -0.94121352
                  34.222                     -0.95547219
                  34.268                     -0.97114651
                  34.314                     -0.98838284
                   34.36                      -1.0073536
                  34.383                      -1.0175515
                  34.406                      -1.0282618
                  34.452                      -1.0513468
                  34.498                      -1.0768911
                  34.544                      -1.1052291
                   34.59                       -1.136758
                  34.636                      -1.1719513
                  34.682                      -1.2113759
                  34.728                      -1.2557137
                  34.774                      -1.3057893
                   34.82                       -1.362605
                  34.866                       -1.427387
                  34.912                      -1.5016433
                  34.958                      -1.5872415
                 34.9925                      -1.6602624
                  35.004                      -1.6865087
                   35.05                       -1.802364
                  35.096                       -1.938492
                  35.142                      -2.0995716
                  35.188                      -2.2915762
                  35.234                      -2.5221611
                   35.28                      -2.8011534
                35.29725                      -2.9207229
                  35.326                      -3.1411399
                  35.372                      -3.5580879
                  35.418                      -4.0719399
                  35.464                      -4.7070486
                   35.51                      -5.4874455
                  35.556                      -6.4328503
                  35.602                      -7.5349258
                  35.648                       -8.707108
                  35.694                      -9.7021374
                  35.717                      -10.006472
                   35.74                      -10.116604
                  35.786                      -9.7186371
                  35.832                      -8.7436957
                  35.878                      -7.5931754
                  35.924                      -6.5110826
                  35.947                      -6.0260124
                   35.97                      -5.5823442
                  36.016                      -4.8150471
                  36.062                      -4.1904275
                  36.108                      -3.6838364
                  36.154                      -3.2722087
                    36.2                      -2.9361575
                  36.246                      -2.6601034
                  36.292                       -2.431775
                  36.338                      -2.2415837
                  36.384                      -2.0820495
                   36.43                      -1.9473255
                  36.476                      -1.8328222
                  36.522                      -1.7349179
                  36.568                      -1.6507375
                  36.614                      -1.5779839
                   36.66                        -1.51481
                 36.6715                      -1.5003316
                  36.706                      -1.4597216
                  36.752                      -1.4115025
                  36.798                      -1.3691573
                  36.844                      -1.3318671
                   36.89                      -1.2989549
                  36.936                      -1.2698593
                36.97625                      -1.2471622
                  36.982                      -1.2441131
                  37.028                      -1.2213269
                  37.074                      -1.2011761
                   37.12                      -1.1833906
                  37.166                      -1.1677472
                  37.212                      -1.1540627
                  37.258                      -1.1421895
                  37.281                       -1.136895
                  37.304                      -1.1320124
                   37.35                      -1.1234458
                  37.396                      -1.1164327
                  37.442                       -1.110944
                  37.488                      -1.1069795
                  37.534                       -1.104569
                   37.58                      -1.1037749
                  37.626                      -1.1046957
                  37.672                      -1.1074691
                  37.718                      -1.1122759
                  37.764                      -1.1193413
