        Frequency / GHz                SZmax(1),Zmax(1) (wm=1)/abs,dB
                  27.506                     -0.74548355
                  27.552                     -0.74371165
                  27.598                     -0.74192497
                  27.644                     -0.74012406
                   27.69                     -0.73830943
                  27.736                      -0.7364816
                  27.782                     -0.73464109
                  27.828                     -0.73278839
                  27.874                     -0.73092401
                   27.92                     -0.72904844
                  27.966                     -0.72716214
                  28.012                     -0.72526561
                  28.058                     -0.72335929
                  28.104                     -0.72144365
                   28.15                     -0.71951914
                  28.196                      -0.7175862
                  28.242                     -0.71564526
                  28.288                     -0.71369674
                  28.334                     -0.71174108
                   28.38                     -0.70977866
                  28.426                     -0.70780991
                  28.472                     -0.70583521
                  28.518                     -0.70385495
                  28.564                     -0.70186951
                   28.61                     -0.69987926
                  28.656                     -0.69788457
                  28.702                     -0.69588579
                  28.748                     -0.69388328
                  28.794                     -0.69187737
                   28.84                     -0.68986841
                  28.886                     -0.68785672
                  28.932                     -0.68584262
                  28.978                     -0.68382643
                  29.024                     -0.68180846
                   29.07                       -0.679789
                  29.116                     -0.67776834
                  29.162                     -0.67574679
                  29.208                      -0.6737246
                  29.254                     -0.67170207
                    29.3                     -0.66967946
                  29.346                     -0.66765702
                  29.392                     -0.66563502
                  29.438                      -0.6636137
                  29.484                      -0.6615933
                   29.53                     -0.65957407
                  29.576                     -0.65755622
                  29.622                     -0.65553999
                  29.668                     -0.65352559
                  29.714                     -0.65151325
                   29.76                     -0.64950315
                  29.806                     -0.64749552
                  29.852                     -0.64549054
                  29.898                      -0.6434884
                  29.944                      -0.6414893
                   29.99                     -0.63949341
                  30.036                      -0.6375009
                  30.082                     -0.63551196
                  30.128                     -0.63352674
                  30.174                     -0.63154541
                   30.22                     -0.62956813
                  30.266                     -0.62759504
                  30.312                     -0.62562629
                  30.358                     -0.62366203
                  30.404                      -0.6217024
                   30.45                     -0.61974752
                  30.496                     -0.61779754
                  30.542                     -0.61585257
                  30.588                     -0.61391274
                  30.634                     -0.61197817
                   30.68                     -0.61004897
                  30.726                     -0.60812525
                  30.772                     -0.60620712
                  30.818                     -0.60429468
                  30.864                     -0.60238804
                   30.91                     -0.60048728
                  30.956                      -0.5985925
                  31.002                     -0.59670379
                  31.048                     -0.59482124
                  31.094                     -0.59294493
                   31.14                     -0.59107494
                  31.186                     -0.58921135
                  31.232                     -0.58735423
                  31.278                     -0.58550365
                  31.324                     -0.58365968
                   31.37                     -0.58182239
                  31.416                     -0.57999183
                  31.462                     -0.57816808
                  31.508                     -0.57635118
                  31.554                      -0.5745412
