        Frequency / GHz                SZmax(1),Zmax(1) (ro=2)/abs,dB
                  25.059                      -1.5643764
                  25.108                      -1.5289731
                  25.157                      -1.4983916
                  25.206                      -1.4722928
                  25.255                      -1.4504709
                  25.304                      -1.4328552
                  25.353                      -1.4195213
                  25.402                      -1.4107124
                  25.451                      -1.4068721
                    25.5                      -1.4086887
                  25.549                      -1.4171413
                  25.598                      -1.4335211
                  25.647                      -1.4593413
                  25.696                      -1.4959249
                  25.745                      -1.5432229
                  25.794                      -1.5972322
                  25.843                      -1.6462455
                  25.892                      -1.6700663
                  25.941                      -1.6502804
                   25.99                      -1.5878435
                  26.039                      -1.5042976
                  26.088                      -1.4231981
                  26.137                      -1.3572547
                  26.186                      -1.3094707
                  26.235                      -1.2784861
                  26.284                      -1.2620867
                  26.333                      -1.2586381
                  26.382                      -1.2675001
                  26.431                      -1.2891124
                   26.48                      -1.3250438
                  26.529                      -1.3780901
                  26.578                      -1.4524045
                  26.627                      -1.5535123
                  26.676                      -1.6878153
                  26.725                      -1.8606765
                  26.774                      -2.0714877
                  26.823                      -2.3043999
                  26.872                      -2.5183582
                  26.921                      -2.6518158
                   26.97                      -2.6571064
                  27.019                      -2.5387736
                  27.068                      -2.3466125
                  27.117                      -2.1351154
                  27.166                      -1.9382052
                  27.215                      -1.7692022
                  27.264                      -1.6295527
                  27.313                      -1.5158403
                  27.362                      -1.4234464
                  27.411                      -1.3480378
                   27.46                       -1.286011
                  27.509                      -1.2345176
                  27.558                      -1.1913548
                  27.607                      -1.1548316
                  27.656                      -1.1236505
                  27.705                      -1.0968119
                  27.754                      -1.0735418
                  27.803                      -1.0532367
                  27.852                      -1.0354229
                  27.901                      -1.0197268
                   27.95                      -1.0058518
                  27.999                     -0.99356187
                  28.048                     -0.98266867
                  28.097                     -0.97302202
                  28.146                     -0.96450267
                  28.195                     -0.95701678
                  28.244                     -0.95049169
                  28.293                     -0.94487281
                  28.342                     -0.94012118
                  28.391                     -0.93621176
                   28.44                     -0.93313224
                  28.489                     -0.93088223
                  28.538                     -0.92947294
                  28.587                      -0.9289271
                  28.636                     -0.92927936
                  28.685                     -0.93057689
                  28.734                     -0.93288052
                  28.783                     -0.93626612
                  28.832                      -0.9408266
                  28.881                     -0.94667437
