        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                 19.7865                      -13.101662
                 19.8022                      -13.049554
                 19.8179                      -12.998103
                 19.8336                      -12.947303
                 19.8493                      -12.897145
                  19.865                      -12.847624
                 19.8807                       -12.79873
                 19.8964                      -12.750457
                 19.9121                      -12.702799
                 19.9278                      -12.655748
                 19.9435                      -12.609298
                 19.9592                      -12.563442
                 19.9749                      -12.518175
                 19.9906                      -12.473488
                 20.0063                      -12.429378
                  20.022                      -12.385838
                 20.0377                      -12.342861
                 20.0534                      -12.300443
                 20.0691                      -12.258578
                 20.0848                       -12.21726
                 20.1005                      -12.176484
                 20.1162                      -12.136245
                 20.1319                      -12.096537
                 20.1476                      -12.057357
                 20.1633                      -12.018699
                  20.179                      -11.980557
                 20.1947                      -11.942929
                 20.2104                      -11.905808
                 20.2261                      -11.869191
                 20.2418                      -11.833074
                 20.2575                      -11.797451
                 20.2732                      -11.762319
                 20.2889                      -11.727674
                 20.3046                      -11.693512
                 20.3203                      -11.659829
                  20.336                      -11.626621
                 20.3517                      -11.593884
                 20.3674                      -11.561615
                 20.3831                       -11.52981
                 20.3988                      -11.498466
                 20.4145                      -11.467579
                 20.4302                      -11.437146
                 20.4459                      -11.407164
                 20.4616                       -11.37763
                 20.4773                       -11.34854
                  20.493                      -11.319891
                 20.5087                      -11.291681
                 20.5244                      -11.263907
                 20.5401                      -11.236566
                 20.5558                      -11.209655
                 20.5715                      -11.183171
                 20.5872                      -11.157112
                 20.6029                      -11.131475
                 20.6186                      -11.106258
                 20.6343                      -11.081459
                   20.65                      -11.057074
                 20.6657                      -11.033103
                 20.6814                      -11.009541
                 20.6971                      -10.986389
                 20.7128                      -10.963642
                 20.7285                      -10.941299
                 20.7442                      -10.919359
                 20.7599                      -10.897819
                 20.7756                      -10.876677
                 20.7913                      -10.855932
                  20.807                      -10.835582
                 20.8227                      -10.815625
                 20.8384                      -10.796059
                 20.8541                      -10.776883
                 20.8698                      -10.758095
                 20.8855                      -10.739694
                 20.9012                      -10.721678
                 20.9169                      -10.704046
                 20.9326                      -10.686796
                 20.9483                      -10.669928
                  20.964                       -10.65344
                 20.9797                      -10.637331
                 20.9954                      -10.621599
                 21.0111                      -10.606244
                 21.0268                      -10.591264
                 21.0425                      -10.576659
                 21.0582                      -10.562428
                 21.0739                      -10.548569
                 21.0896                      -10.535083
                 21.1053                      -10.521967
                  21.121                      -10.509222
                 21.1367                      -10.496846
                 21.1524                      -10.484839
                 21.1681                      -10.473201
                 21.1838                      -10.461931
                 21.1995                      -10.451027
                 21.2152                      -10.440491
                 21.2309                      -10.430321
                 21.2466                      -10.420517
                 21.2623                      -10.411079
                  21.278                      -10.402007
                 21.2937                        -10.3933
                 21.3094                      -10.384957
                 21.3251                       -10.37698
                 21.3408                      -10.369368
                 21.3565                       -10.36212
                 21.3722                      -10.355238
                 21.3879                       -10.34872
                 21.4036                      -10.342567
                 21.4193                      -10.336779
                  21.435                      -10.331357
                 21.4507                      -10.326301
                 21.4664                       -10.32161
                 21.4821                      -10.317286
                 21.4978                      -10.313328
                 21.5135                      -10.309738
                 21.5292                      -10.306515
                 21.5449                       -10.30366
                 21.5606                      -10.301174
                 21.5763                      -10.299058
                  21.592                      -10.297311
                 21.6077                      -10.295936
                 21.6234                      -10.294932
                 21.6391                        -10.2943
                 21.6548                      -10.294042
                 21.6705                      -10.294158
                 21.6862                       -10.29465
                 21.7019                      -10.295518
                 21.7176                      -10.296763
                 21.7333                      -10.298387
                  21.749                      -10.300391
                 21.7647                      -10.302777
                 21.7804                      -10.305544
                 21.7961                      -10.308696
                 21.8118                      -10.312232
                 21.8275                      -10.316156
                 21.8432                      -10.320468
                 21.8589                       -10.32517
                 21.8746                      -10.330263
                 21.8903                       -10.33575
                  21.906                      -10.341632
                 21.9217                      -10.347911
                 21.9374                      -10.354588
                 21.9531                      -10.361667
                 21.9688                      -10.369148
                 21.9845                      -10.377035
                 22.0002                      -10.385328
                 22.0159                      -10.394031
                 22.0316                      -10.403145
                 22.0473                      -10.412674
                  22.063                      -10.422619
                 22.0787                      -10.432983
                 22.0944                      -10.443768
                 22.1101                      -10.454977
                 22.1258                      -10.466614
                 22.1415                      -10.478679
                 22.1572                      -10.491178
                 22.1729                      -10.504111
                 22.1886                      -10.517483
                 22.2043                      -10.531297
                   22.22                      -10.545555
                 22.2357                      -10.560261
                 22.2514                      -10.575418
                 22.2671                       -10.59103
                 22.2828                        -10.6071
                 22.2985                      -10.623632
                 22.3142                      -10.640629
                 22.3299                      -10.658095
                 22.3456                      -10.676034
                 22.3613                       -10.69445
                  22.377                      -10.713347
                 22.3927                      -10.732729
                 22.4084                        -10.7526
                 22.4241                      -10.772964
                 22.4398                      -10.793827
                 22.4555                      -10.815192
                 22.4712                      -10.837064
                 22.4869                      -10.859449
                 22.5026                       -10.88235
                 22.5183                      -10.905772
                  22.534                      -10.929722
                 22.5497                      -10.954203
                 22.5654                      -10.979222
                 22.5811                      -11.004783
                 22.5968                      -11.030893
                 22.6125                      -11.057556
                 22.6282                      -11.084779
                 22.6439                      -11.112568
                 22.6596                      -11.140929
                 22.6753                      -11.169868
                  22.691                      -11.199391
                 22.7067                      -11.229504
                 22.7224                      -11.260216
                 22.7381                      -11.291531
                 22.7538                      -11.323458
                 22.7695                      -11.356003
                 22.7852                      -11.389173
                 22.8009                      -11.422977
                 22.8166                      -11.457421
                 22.8323                      -11.492514
                  22.848                      -11.528263
                 22.8637                      -11.564677
                 22.8794                      -11.601763
                 22.8951                      -11.639531
                 22.9108                      -11.677989
                 22.9265                      -11.717146
                 22.9422                      -11.757012
                 22.9579                      -11.797594
                 22.9736                      -11.838904
                 22.9893                      -11.880951
                  23.005                      -11.923744
                 23.0207                      -11.967295
                 23.0364                      -12.011614
                 23.0521                      -12.056711
                 23.0678                      -12.102597
                 23.0835                      -12.149284
                 23.0992                      -12.196783
                 23.1149                      -12.245107
                 23.1306                      -12.294266
                 23.1463                      -12.344274
                  23.162                      -12.395144
                 23.1777                      -12.446888
                 23.1934                       -12.49952
                 23.2091                      -12.553053
                 23.2248                      -12.607502
                 23.2405                      -12.662881
                 23.2562                      -12.719205
                 23.2719                      -12.776488
                 23.2876                      -12.834747
                 23.3033                      -12.893997
                  23.319                      -12.954255
