        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                  16.141                      -8.0034583
                   16.19                      -6.6427241
                  16.239                      -5.6181671
                  16.288                      -4.8331566
                  16.337                      -4.2234537
                  16.386                      -3.7448959
                  16.435                       -3.366371
                  16.484                      -3.0655722
                  16.533                      -2.8263092
                  16.582                      -2.6367458
                  16.631                      -2.4882173
                   16.68                       -2.374428
                  16.729                      -2.2909038
                  16.778                      -2.2346209
                  16.827                      -2.2037613
                  16.876                      -2.1975554
                  16.925                       -2.216183
                  16.974                      -2.2606967
                  17.023                      -2.3329146
                  17.072                      -2.4351865
                  17.121                      -2.5698544
                   17.17                      -2.7380954
                  17.219                      -2.9376807
                  17.268                      -3.1591922
                  17.317                      -3.3810074
                  17.366                      -3.5658606
                  17.415                      -3.6656679
                  17.464                      -3.6405115
                  17.513                      -3.4835259
                  17.562                      -3.2281736
                  17.611                      -2.9286156
                   17.66                      -2.6332774
                  17.709                      -2.3720547
                  17.758                      -2.1575951
                  17.807                      -1.9918262
                  17.856                      -1.8718133
                  17.905                      -1.7934105
                  17.954                      -1.7531403
                  18.003                      -1.7490538
                  18.052                      -1.7811196
                  18.101                      -1.8514416
                   18.15                      -1.9644228
                  18.199                      -2.1268326
                  18.248                      -2.3475307
                  18.297                       -2.636247
                  18.346                        -3.00025
                  18.395                      -3.4371416
                  18.444                      -3.9225776
                  18.493                      -4.3966596
                  18.542                      -4.7647285
                  18.591                      -4.9340761
                   18.64                       -4.873577
                  18.689                      -4.6336611
                  18.738                      -4.3031293
                  18.787                      -3.9578604
                  18.836                      -3.6424595
                  18.885                      -3.3759136
                  18.934                      -3.1622734
                  18.983                      -2.9979887
                  19.032                      -2.8745198
                  19.081                      -2.7764678
                   19.13                       -2.676846
                  19.179                      -2.5390665
                  19.228                      -2.3439306
                  19.277                      -2.1220387
                  19.326                      -1.9269741
                  19.375                      -1.7840346
                  19.424                      -1.6882806
                  19.473                      -1.6257858
                  19.522                      -1.5847814
                  19.571                      -1.5574853
                   19.62                      -1.5391505
                  19.669                      -1.5269975
                  19.718                      -1.5195646
                  19.767                       -1.516478
                  19.816                      -1.5186144
                  19.865                      -1.5286822
                  19.914                      -1.5521339
                  19.963                      -1.5975226
                  20.012                      -1.6733783
                  20.061                      -1.7783387
                   20.11                      -1.8924163
                  20.159                      -1.9885573
                  20.208                      -2.0546369
                  20.257                      -2.0956134
                  20.306                      -2.1217158
                  20.355                      -2.1411661
                  20.404                      -2.1591702
                  20.453                      -2.1788232
                  20.502                      -2.2018187
                  20.551                      -2.2288521
                    20.6                      -2.2600143
                  20.649                      -2.2951705
                  20.698                      -2.3342037
                  20.747                      -2.3771157
                  20.796                      -2.4240508
                  20.845                      -2.4752976
                  20.894                      -2.5312931
                  20.943                      -2.5926383
                  20.992                      -2.6601283
                  21.041                      -2.7347996
                   21.09                      -2.8180004
                  21.139                      -2.9114917
                  21.188                      -3.0175967
                  21.237                       -3.139421
                  21.286                       -3.281193
                  21.335                      -3.4488017
                  21.384                      -3.6506933
                  21.433                      -3.8994367
                  21.482                      -4.2146148
                  21.531                      -4.6283401
                   21.58                      -5.1952314
                  21.629                      -6.0041774
                  21.678                      -7.1640316
                  21.727                      -8.7433286
                  21.776                       -10.87007
                  21.825                      -13.993757
                  21.874                       -18.27745
                  21.923                      -17.897985
                  21.972                      -13.397345
